,0,1
11603,2016-04-27 16:33:36.031463623,
11604,2016-04-27 16:34:47.635833740,
11605,2016-04-27 16:36:25.241790771,
11606,2016-04-27 17:27:55.510681152,
11607,2016-04-27 17:28:25.412506104,
11608,2016-04-27 17:29:18.415740967,
11609,2016-04-27 17:36:17.441314697,
11610,2016-04-27 18:28:44.613677979,
11611,2016-04-27 18:29:52.217803955,
11612,2016-04-27 18:31:31.223846436,
11613,2016-04-27 18:34:35.335083008,
11614,2016-04-27 19:28:31.012847900,
11615,2016-04-27 19:31:49.924987793,
11616,2016-04-27 19:35:59.840240479,
11617,2016-04-27 20:27:29.009063721,
11618,2016-04-27 20:29:17.915710449,
11619,2016-04-27 21:30:32.020233154,
11620,2016-04-27 21:33:27.530944824,
11621,2016-04-27 21:34:47.235809326,
11622,2016-04-27 22:28:02.511108397,
11623,2016-04-27 22:29:03.614837646,
11624,2016-04-27 22:29:05.114929199,
11625,2016-04-27 22:32:00.925659180,
11626,2016-04-27 22:32:02.725769043,
11627,2016-04-27 23:31:26.223541260,
11628,2016-04-27 23:35:23.838043213,
11629,2016-04-27 23:35:51.039703369,
11630,2016-04-28 00:31:54.625274658,
11631,2016-04-28 00:36:23.041656494,
11632,2016-04-28 01:28:46.913818359,
11633,2016-04-28 01:32:37.727905273,
11634,2016-04-28 01:35:49.239593506,
11635,2016-04-28 02:25:32.701965332,
11636,2016-04-28 02:28:06.311340332,
11637,2016-04-28 02:31:44.324645996,
11638,2016-04-28 02:32:48.328552246,
11639,2016-04-28 02:33:26.130859375,
11640,2016-04-28 02:33:52.332458496,
11641,2016-04-28 02:34:21.134216309,
11642,2016-04-28 02:36:29.542053223,
11643,2016-04-28 03:25:49.002960205,
11644,2016-04-28 03:27:14.908203125,
11645,2016-04-28 03:27:53.210540771,
11646,2016-04-28 03:29:53.317871094,
11647,2016-04-28 03:32:15.326538086,
11648,2016-04-28 04:29:21.815948486,
11649,2016-04-28 05:26:08.604156494,
11650,2016-04-28 05:28:38.113281250,
11651,2016-04-28 05:34:18.734069824,
11652,2016-04-28 06:26:50.006683350,
11653,2016-04-28 06:28:00.110961914,
11654,2016-04-28 07:29:10.115234375,
11655,2016-04-28 07:30:18.819427490,
11656,2016-04-28 07:30:57.021759033,
11657,2016-04-28 07:34:59.736572266,
11658,2016-04-28 07:35:00.236602783,
11659,2016-04-28 08:26:20.404876709,
11660,2016-04-28 08:36:13.841094971,
11661,2016-04-28 09:25:38.902343750,
11662,2016-04-28 09:26:07.304077148,
11663,2016-04-28 09:31:58.725524902,
11664,2016-04-28 09:34:53.536193848,
11665,2016-04-28 10:25:27.101623535,
11666,2016-04-28 10:26:41.806182861,
11667,2016-04-28 10:27:34.109375000,
11668,2016-04-28 10:28:20.112182617,
11669,2016-04-28 10:29:16.715637207,
11670,2016-04-28 10:29:41.517150879,
11671,2016-04-28 10:32:34.027679443,
11672,2016-04-28 10:32:34.627716064,
11673,2016-04-28 11:26:37.405914307,
11674,2016-04-28 11:32:01.425689697,
11675,2016-04-28 11:32:25.427154541,
11676,2016-04-28 12:25:25.401519775,
11677,2016-04-28 12:27:58.410858154,
11678,2016-04-28 12:29:06.114990234,
11679,2016-04-28 12:29:39.317016602,
11680,2016-04-28 12:33:49.732299805,
11681,2016-04-28 12:35:22.337951660,
11682,2016-04-28 12:36:17.441314697,
11683,2016-04-28 12:36:18.941406250,
11684,2016-04-28 13:26:47.706542969,
11685,2016-04-28 13:28:05.011260986,
11686,2016-04-28 13:29:48.217559814,
11687,2016-04-28 13:33:33.231292725,
11688,2016-04-28 13:36:31.842193604,
11689,2016-04-28 13:36:33.442291260,
11690,2016-04-28 14:26:33.605682373,
11691,2016-04-28 14:27:30.709167480,
11692,2016-04-28 14:28:20.512207031,
11693,2016-04-28 14:29:24.816131592,
11694,2016-04-28 14:29:54.017913818,
11695,2016-04-28 14:30:40.320739746,
11696,2016-04-28 14:33:23.230682373,
11697,2016-04-28 14:36:36.442474365,
11698,2016-04-28 15:26:01.003692627,
11699,2016-04-28 15:27:30.409149170,
11700,2016-04-28 15:28:14.111816406,
11701,2016-04-28 15:28:24.612457275,
11702,2016-04-28 15:28:50.014007568,
11703,2016-04-28 15:29:27.416290283,
11704,2016-04-28 15:32:46.128417969,
11705,2016-04-28 15:33:41.331787109,
11706,2016-04-28 15:34:36.935180664,
11707,2016-04-28 15:35:29.038360596,
11708,2016-04-28 15:36:21.141540527,
11709,2016-04-28 16:25:50.903076172,
11710,2016-04-28 16:26:27.005279541,
11711,2016-04-28 16:27:19.608489990,
11712,2016-04-28 16:29:06.315002441,
11713,2016-04-28 16:29:08.415130615,
11714,2016-04-28 16:30:15.719238281,
11715,2016-04-28 16:31:11.022613525,
11716,2016-04-28 16:31:38.624298096,
11717,2016-04-28 16:33:40.431732178,
11718,2016-04-28 16:34:22.334289551,
11719,2016-04-28 16:35:14.037445068,
11720,2016-04-28 16:35:16.637603760,
11721,2016-04-28 16:36:03.740478516,
11722,2016-04-28 17:25:40.102416992,
11723,2016-04-28 17:26:00.603668213,
11724,2016-04-28 17:26:47.706542969,
11725,2016-04-28 17:27:29.509094238,
11726,2016-04-28 17:29:06.315002441,
11727,2016-04-28 17:30:32.620269775,
11728,2016-04-28 17:31:25.523498535,
11729,2016-04-28 17:32:06.125976561,
11730,2016-04-28 17:32:30.227447510,
11731,2016-04-28 17:33:03.929504395,
11732,2016-04-28 17:33:50.032318115,
11733,2016-04-28 17:35:36.438812256,
11734,2016-04-28 18:25:57.803497314,
11735,2016-04-28 18:28:12.911743164,
11736,2016-04-28 18:28:50.114013672,
11737,2016-04-28 18:29:25.816192627,
11738,2016-04-28 18:30:34.020355225,
11739,2016-04-28 18:33:26.130859375,
11740,2016-04-28 18:34:29.334716797,
11741,2016-04-28 18:34:54.936279297,
11742,2016-04-28 19:26:41.906188965,
11743,2016-04-28 19:28:26.912597656,
11744,2016-04-28 19:29:31.916564941,
11745,2016-04-28 19:30:34.620391846,
11746,2016-04-28 19:30:37.720581055,
11747,2016-04-28 19:31:16.722961426,
11748,2016-04-28 19:33:17.430328369,
11749,2016-04-28 19:35:35.338745117,
11750,2016-04-28 20:26:02.203765869,
11751,2016-04-28 20:26:03.603851318,
11752,2016-04-28 20:36:25.141784668,
11753,2016-04-28 21:25:47.502868652,
11754,2016-04-28 21:27:23.808746338,
11755,2016-04-28 21:27:51.410430908,
11756,2016-04-28 21:29:26.716247559,
11757,2016-04-28 21:32:37.227874756,
11758,2016-04-28 21:34:23.034332275,
11759,2016-04-28 21:35:36.038787842,
11760,2016-04-28 22:28:46.713806152,
11761,2016-04-28 22:28:48.113891602,
11762,2016-04-28 22:29:37.016876221,
11763,2016-04-28 22:30:52.121459961,
11764,2016-04-28 22:31:17.322998047,
11765,2016-04-28 22:31:38.824310303,
11766,2016-04-28 22:36:25.141784668,
11767,2016-04-28 23:28:42.213531494,
11768,2016-04-28 23:32:47.328491211,
11769,2016-04-28 23:36:15.441192627,
11770,2016-04-29 00:25:31.101867676,
11771,2016-04-29 00:26:18.804779053,
11772,2016-04-29 00:26:38.605987549,
11773,2016-04-29 00:27:15.108215332,
11774,2016-04-29 00:27:41.709838867,
11775,2016-04-29 00:28:09.311523438,
11776,2016-04-29 00:28:49.914001465,
11777,2016-04-29 00:29:32.116577148,
11778,2016-04-29 00:30:39.420684814,
11779,2016-04-29 00:30:44.220977783,
11780,2016-04-29 00:31:54.425262451,
